u,theta_d,rho,vel
13.6,-0.001304779,-0.000225836,16.66666667
13.7,-0.001351109,-0.000231649,16.66666667
13.8,-0.001395017,-0.000219537,16.66666667
13.9,-0.001436228,-0.000206055,16.66666667
14,-0.001478864,-0.000213179,16.66666667
14.1,-0.001516301,-0.000187188,16.66666667
14.2,-0.00155106,-0.000173793,16.66666667
14.3,-0.001576471,-0.000127056,16.66666667
14.4,-0.001579581,-1.55E-05,16.66666667
14.5,-0.001558161,0.000107102,16.66666667
14.6,-0.001530886,0.000136373,16.66666667
14.7,-0.001514997,7.94E-05,16.66666667
14.8,-0.001504978,5.01E-05,16.66666667
14.9,-0.001500294,2.34E-05,16.66666667
15,-0.001503837,-1.77E-05,16.66666667
15.1,-0.001509439,-2.80E-05,16.66666667
15.2,-0.00151915,-4.86E-05,16.66666667
15.3,-0.001528403,-4.63E-05,16.66666667
15.4,-0.001536141,-3.87E-05,16.66666667
15.5,-0.001543186,-3.52E-05,16.66666667
15.6,-0.001541803,6.92E-06,16.66666667
15.7,-0.001540467,6.68E-06,16.66666667
15.8,-0.001539471,4.98E-06,16.66666667
15.9,-0.001537784,8.43E-06,16.66666667
16,-0.001539619,-9.17E-06,16.66666667
16.1,-0.001539489,6.52E-07,16.66666667
16.2,-0.00153853,4.79E-06,16.66666667
16.3,-0.001535382,1.57E-05,16.66666667
16.4,-0.001530128,2.63E-05,16.66666667
16.5,-0.001526915,1.61E-05,16.66666667
16.6,-0.001520472,3.22E-05,16.66666667
16.7,-0.001513747,3.36E-05,16.66666667
16.8,-0.001506698,3.52E-05,16.66666667
16.9,-0.001497452,4.62E-05,16.66666667
17,-0.001491403,3.02E-05,16.66666667
17.1,-0.00148277,4.32E-05,16.66666667
17.2,-0.001473789,4.49E-05,16.66666667
17.3,-0.001465107,4.34E-05,16.66666667
17.4,-0.001456474,4.32E-05,16.66666667
17.5,-0.001449142,3.67E-05,16.66666667
17.6,-0.001440455,4.34E-05,16.66666667
17.7,-0.001431773,4.34E-05,16.66666667
17.8,-0.001423454,4.16E-05,16.66666667
17.9,-0.001413604,4.93E-05,16.66666667
18,-0.001407161,3.22E-05,16.66666667
18.1,-0.001398585,4.29E-05,16.66666667
18.2,-0.0013916,3.49E-05,16.66666667
18.3,-0.00138472,3.44E-05,16.66666667
18.4,-0.001376593,4.06E-05,16.66666667
18.5,-0.001370219,3.19E-05,16.66666667
18.6,-0.001362765,3.73E-05,16.66666667
18.7,-0.001356796,2.98E-05,16.66666667
18.8,-0.001349555,3.62E-05,16.66666667
18.9,-0.001339446,5.05E-05,16.66666667
19,-0.001333554,2.95E-05,16.66666667
19.1,-0.001326058,3.75E-05,16.66666667
19.2,-0.001319419,3.32E-05,16.66666667
19.3,-0.001312086,3.67E-05,16.66666667
19.4,-0.001302923,4.58E-05,16.66666667
19.5,-0.001296235,3.34E-05,16.66666667
19.6,-0.001286975,4.63E-05,16.66666667
19.7,-0.001278395,4.29E-05,16.66666667
19.8,-0.001270564,3.92E-05,16.66666667
19.9,-0.00126149,4.54E-05,16.66666667
20,-0.001252942,4.27E-05,16.66666667
20.1,-0.001242512,5.21E-05,16.66666667
20.2,-0.001234476,4.02E-05,16.66666667
20.3,-0.001226545,3.97E-05,16.66666667
20.4,-0.001215134,5.71E-05,16.66666667
20.5,-0.001206619,4.26E-05,16.66666667
20.6,-0.001196122,5.25E-05,16.66666667
20.7,-0.001186929,4.60E-05,16.66666667
20.8,-0.001177635,4.65E-05,16.66666667
20.9,-0.001166938,5.35E-05,16.66666667
21,-0.00115608,5.43E-05,16.66666667
21.1,-0.001144583,5.75E-05,16.66666667
21.2,-0.00113592,4.33E-05,16.66666667
21.3,-0.001126146,4.89E-05,16.66666667
21.4,-0.001113987,6.08E-05,16.66666667
21.5,-0.001105292,4.35E-05,16.66666667
21.6,-0.001092254,6.52E-05,16.66666667
21.7,-0.00108216,5.05E-05,16.66666667
21.8,-0.001072237,4.96E-05,16.66666667
21.9,-0.00106058,5.83E-05,16.66666667
22,-0.00105104,4.77E-05,16.66666667
22.1,-0.001038936,6.05E-05,16.66666667
22.2,-0.001027139,5.90E-05,16.66666667
22.3,-0.00101731,4.91E-05,16.66666667
22.4,-0.001005321,5.99E-05,16.66666667
22.5,-0.000995619,4.85E-05,16.66666667
22.6,-0.000984678,5.47E-05,16.66666667
22.7,-0.00097131,6.68E-05,16.66666667
22.8,-0.00096086,5.22E-05,16.66666667
22.9,-0.000950422,5.22E-05,16.66666667
23,-0.000940153,5.13E-05,16.66666667
23.1,-0.000928483,5.84E-05,16.66666667
23.2,-0.000915385,6.55E-05,16.66666667
23.3,-0.000905041,5.17E-05,16.66666667
23.4,-0.000893453,5.79E-05,16.66666667
23.5,-0.000884169,4.64E-05,16.66666667
23.6,-0.000873057,5.56E-05,16.66666667
23.7,-0.00085988,6.59E-05,16.66666667
23.8,-0.000850209,4.84E-05,16.66666667
23.9,-0.000837947,6.13E-05,16.66666667
24,-0.000828656,4.65E-05,16.66666667
24.1,-0.000816936,5.86E-05,16.66666667
24.2,-0.000804678,6.13E-05,16.66666667
24.3,-0.00079485,4.91E-05,16.66666667
24.4,-0.000781559,6.65E-05,16.66666667
24.5,-0.000772741,4.41E-05,16.66666667
24.6,-0.000759553,6.59E-05,16.66666667
24.7,-0.000749116,5.22E-05,16.66666667
24.8,-0.000738502,5.31E-05,16.66666667
24.9,-0.000727631,5.44E-05,16.66666667
25,-0.000716802,5.41E-05,16.66666667
25.1,-0.000704115,6.34E-05,16.66666667
25.2,-0.000693575,5.27E-05,16.66666667
25.3,-0.000684007,4.78E-05,16.66666667
25.4,-0.000671502,6.25E-05,16.66666667
25.5,-0.000660342,5.58E-05,16.66666667
25.6,-0.000649347,5.50E-05,16.66666667
25.7,-0.000638708,5.32E-05,16.66666667
25.8,-0.000629418,4.64E-05,16.66666667
25.9,-0.000614584,7.42E-05,16.66666667
26,-0.000605499,4.54E-05,16.66666667
26.1,-0.000594861,5.32E-05,16.66666667
26.2,-0.000583979,5.44E-05,16.66666667
26.3,-0.000571834,6.07E-05,16.66666667
26.4,-0.000560435,5.70E-05,16.66666667
26.5,-0.000550471,4.98E-05,16.66666667
26.6,-0.000539834,5.32E-05,16.66666667
26.7,-0.00052639,6.72E-05,16.66666667
26.8,-0.000516867,4.76E-05,16.66666667
26.9,-0.000505457,5.71E-05,16.66666667
27,-0.000496308,4.57E-05,16.66666667
27.1,-0.000482755,6.78E-05,16.66666667
27.2,-0.00047098,5.89E-05,16.66666667
27.3,-0.000462444,4.27E-05,16.66666667
27.4,-0.000450083,6.18E-05,16.66666667
27.5,-0.000439733,5.18E-05,16.66666667
27.6,-0.000428906,5.41E-05,16.66666667
27.7,-0.000419003,4.95E-05,16.66666667
27.8,-0.000407335,5.83E-05,16.66666667
27.9,-0.000395511,5.91E-05,16.66666667
28,-0.00038695,4.28E-05,16.66666667
28.1,-0.000377384,4.78E-05,16.66666667
28.2,-0.000364001,6.69E-05,16.66666667
28.3,-0.000354884,4.56E-05,16.66666667
28.4,-0.000345893,4.50E-05,16.66666667
28.5,-0.000336129,4.88E-05,16.66666667
28.6,-0.000323775,6.18E-05,16.66666667
28.7,-0.00031358,5.10E-05,16.66666667
28.8,-0.000305961,3.81E-05,16.66666667
28.9,-0.000292475,6.74E-05,16.66666667
29,-0.000283497,4.49E-05,16.66666667
29.1,-0.000274678,4.41E-05,16.66666667
29.2,-0.000263345,5.67E-05,16.66666667
29.3,-0.000252355,5.49E-05,16.66666667
29.4,-0.000243112,4.62E-05,16.66666667
29.5,-0.000234191,4.46E-05,16.66666667
29.6,-0.000221497,6.35E-05,16.66666667
29.7,-0.00021175,4.87E-05,16.66666667
29.8,-0.000203439,4.16E-05,16.66666667
29.9,-0.000190217,6.61E-05,16.66666667
30,-0.000180383,4.92E-05,16.66666667
30.1,-0.000172233,4.07E-05,16.66666667
30.2,-0.000159911,6.16E-05,16.66666667
30.3,-0.000147956,5.98E-05,16.66666667
30.4,-0.000140044,3.96E-05,16.66666667
30.5,-0.000130379,4.83E-05,16.66666667
30.6,-0.000116466,6.96E-05,16.66666667
30.7,-0.000107568,4.45E-05,16.66666667
