u,theta_d_modi,rho_filtered,vel
215.8803279,-3.376159206,-0.044515308,8.333333333
217.8677124,-3.485159757,-0.049028996,8.333333333
219.8661749,-3.597816351,-0.050061757,8.333333333
221.8728994,-3.689818144,-0.046878284,8.333333333
223.8669619,-3.787274551,-0.031889318,8.333333333
225.8650484,-3.844467667,-0.008951156,8.333333333
227.8622449,-3.803932063,0.013663679,8.333333333
229.8594449,-3.687298026,0.037097735,8.333333333
231.8562514,-3.553394964,0.056518856,8.333333333
233.8524699,-3.416936453,0.066046966,8.333333333
235.8494879,-3.280217635,0.067147998,8.333333333
237.8454529,-3.144605595,0.066087899,8.333333333
239.8417914,-3.016970053,0.066107322,8.333333333
241.8397484,-2.893619784,0.067218484,8.333333333
243.8358224,-2.757026752,0.068079001,8.333333333
245.8312989,-2.609305145,0.067537351,8.333333333
247.8263999,-2.465169484,0.059254019,8.333333333
249.8218124,-2.342936551,0.040180256,8.333333333
251.8213824,-2.302237235,0.015337991,8.333333333
253.8200789,-2.356025193,-0.009848968,8.333333333
255.8173039,-2.4562766,-0.031924713,8.333333333
257.8158489,-2.563590206,-0.046164638,8.333333333
259.8144274,-2.661827154,-0.050806878,8.333333333
261.8111334,-2.763400848,-0.050503348,8.333333333
263.8095514,-2.863574117,-0.049604946,8.333333333
265.8069774,-2.960791837,-0.049831143,8.333333333
267.8054614,-3.05911831,-0.049612766,8.333333333
269.8037079,-3.159630438,-0.0489878,8.333333333
271.8013864,-3.259047493,-0.049862834,8.333333333
273.7998989,-3.35298747,-0.051014876,8.333333333
275.7976839,-3.458911545,-0.050915889,8.333333333
277.7946139,-3.568708108,-0.050630309,8.333333333
279.7930639,-3.668231177,-0.050491773,8.333333333
281.7905124,-3.764801759,-0.048374187,8.333333333
283.7895389,-3.85736831,-0.039502416,8.333333333
285.7872639,-3.942201308,-0.021587715,8.333333333
287.7869369,-3.963429371,0.000750336,8.333333333
289.7841819,-3.884066536,0.023579014,8.333333333
291.7798159,-3.757569569,0.045458534,8.333333333
293.7769784,-3.622167451,0.06053139,8.333333333
295.7726949,-3.488493041,0.066152636,8.333333333
297.7702159,-3.359187629,0.067393427,8.333333333
299.7661304,-3.223716609,0.067408494,8.333333333
301.7624449,-3.084863984,0.067348847,8.333333333
303.7581074,-2.9493222,0.067987266,8.333333333
305.7549799,-2.816200492,0.06807169,8.333333333
307.7525324,-2.680512456,0.063677995,8.333333333
309.7486704,-2.544252818,0.050317859,8.333333333
311.7431744,-2.449270531,0.029017332,8.333333333
313.7412409,-2.447078477,0.004417296,8.333333333
315.7393529,-2.526701008,-0.019740832,8.333333333
317.7374619,-2.636705385,-0.038827644,8.333333333
319.7359744,-2.741606298,-0.048383068,8.333333333
321.7335234,-2.837179811,-0.049564253,8.333333333
323.7318179,-2.930449423,-0.046149039,8.333333333
325.7296744,-3.021883652,-0.039554197,8.333333333
327.7285436,-3.097795848,-0.030987038,8.333333333
329.7280562,-3.1368418,-0.021626056,8.333333333
331.7278742,-3.146842842,-0.012400053,8.333333333
333.7277867,-3.146592893,-0.006957933,8.333333333
335.7273992,-3.145842913,-0.008799442,8.333333333
337.7272412,-3.167356492,-0.016425201,8.333333333
339.726215,-3.224781052,-0.026686682,8.333333333
341.7243757,-3.310944823,-0.037120681,8.333333333
343.7218638,-3.413198737,-0.044386373,8.333333333
345.7200211,-3.516694941,-0.048182002,8.333333333
347.7182581,-3.610784699,-0.050008809,8.333333333
349.7161347,-3.70610123,-0.050296445,8.333333333
351.7137047,-3.810535753,-0.050303902,8.333333333
353.7125467,-3.915667809,-0.050877509,8.333333333
355.7095397,-4.019212965,-0.051113937,8.333333333
357.7079497,-4.119041146,-0.05072324,8.333333333
359.7059747,-4.216707181,-0.050355212,8.333333333
361.7029012,-4.31722005,-0.050141623,8.333333333
363.7016757,-4.418685555,-0.050034534,8.333333333
365.6991562,-4.520098743,-0.049822452,8.333333333
367.6971387,-4.618848894,-0.04935998,8.333333333
369.6952837,-4.714399848,-0.049064666,8.333333333
371.6921922,-4.81023993,-0.04905652,8.333333333
373.6887972,-4.908738421,-0.049179007,8.333333333
375.6877297,-5.010073642,-0.049545896,8.333333333
377.6844162,-5.110005613,-0.05005722,8.333333333
379.6822052,-5.209223568,-0.050094261,8.333333333
381.6795883,-5.310200957,-0.05003227,8.333333333
383.6769966,-5.40905114,-0.050701626,8.333333333
385.6744304,-5.509731506,-0.050996284,8.333333333
387.6712071,-5.616328336,-0.050267381,8.333333333
389.6681499,-5.718492641,-0.049911909,8.333333333
391.6665952,-5.812237942,-0.050028812,8.333333333
393.6649625,-5.907575236,-0.04982473,8.333333333
395.6630108,-6.009448995,-0.048741365,8.333333333
397.6601918,-6.114022481,-0.04810784,8.333333333
399.6572783,-6.204880906,-0.048155303,8.333333333
401.630885,-6.263336475,-0.023974433,8.333333333
