u,theta_d,rho,vel
107,0,0,5.555555556
107.5,0,0,5.555555556
108,0,0,5.555555556
108.5,0,0,5.555555556
109,0,0,5.555555556
109.5,0,0,5.555555556
110,0,0,5.555555556
110.5,0,0,5.555555556
111,0,0,5.555555556
111.5,0,0,5.555555556
112,0,0,5.555555556
112.5,0,0,5.555555556
113,0,0,5.555555556
113.5,0,0,5.555555556
114,0,0,5.555555556
114.5,0,0,5.555555556
115,0,0,5.555555556
115.5,0,0,5.555555556
116,0,0,5.555555556
116.5,0,0,5.555555556
117,0,0,5.555555556
117.5,0,0,5.555555556
118,0,0,5.555555556
118.5,0,0,5.555555556
119,0,0,5.555555556
119.5,0,0,5.555555556
120,0,0,5.555555556
120.5,0,0,5.555555556
121,0,0,5.555555556
121.5,0,0,5.555555556
122,0,0,5.555555556
122.5,0,0,5.555555556
123,0,0,5.555555556
123.5,0,0,5.555555556
124,0,0,5.555555556
124.5,0,0,5.555555556
125,0,0,5.555555556
125.5,0,0,5.555555556
126,0,0,5.555555556
126.5,0,0,5.555555556
127,0,0,5.555555556
127.5,0,0,5.555555556
128,0,0,5.555555556
128.5,0,0,5.555555556
129,0,0,5.555555556
129.5,0,0,5.555555556
130,0,0,5.555555556
130.5,0,0,5.555555556
131,0,0,5.555555556
131.5,0,0,5.555555556
132,0,0,5.555555556
132.5,0,0,5.555555556
133,0,0,5.555555556
133.5,0,0,5.555555556
134,0,0,5.555555556
134.5,0,0,5.555555556
135,0,0,5.555555556
135.5,0,0,5.555555556
136,0,0,5.555555556
136.5,0,0,5.555555556
137,0,0,5.555555556
137.5,0,0,5.555555556
138,0,0,5.555555556
138.5,0,0,5.555555556
139,0,0,5.555555556
139.5,0,0,5.555555556
140,0,0,5.555555556
140.5,0,0,5.555555556
141,0,0,5.555555556
141.5,0,0,5.555555556
142,0,0,5.555555556
142.5,0,0,5.555555556
143,0,0,5.555555556
143.5,0,0,5.555555556
144,0,0,5.555555556
144.5,0,0,5.555555556
145,0,0,5.555555556
145.5,0,0,5.555555556
146,0,0,5.555555556
146.5,0,0,5.555555556
147,0,0,5.555555556
147.5,0,0,5.555555556
148,0,0,5.555555556
148.5,0,0,5.555555556
149,0,0,5.555555556
149.5,0,0,5.555555556
150,0,0,5.555555556
150.5,0,0,5.555555556
151,0,0,5.555555556
151.5,0,0,5.555555556
152,0,0,5.555555556
152.5,0,0,5.555555556
153,0,0,5.555555556
153.5,0,0,5.555555556
154,0,0,5.555555556
154.5,0,0,5.555555556
155,0,0,5.555555556
155.5,0,0,5.555555556
156,0,0,5.555555556
156.5,0,0,5.555555556
157,0,0,5.555555556
157.5,0,0,5.555555556
158,0,0,5.555555556
158.5,0,0,5.555555556
159,0,0,5.555555556
159.5,0,0,5.555555556
160,0,0,5.555555556
160.5,0,0,5.555555556
161,0,0,5.555555556
161.5,0,0,5.555555556
162,0,0,5.555555556
162.5,0,0,5.555555556
163,0,0,5.555555556
163.5,0,0,5.555555556
164,0,0,5.555555556
164.5,0,0,5.555555556
165,0,0,5.555555556
165.5,0,0,5.555555556
166,0,0,5.555555556
166.5,0,0,5.555555556
167,0,0,5.555555556
167.5,0,0,5.555555556
168,0,0,5.555555556
168.5,0,0,5.555555556
169,0,0,5.555555556
169.5,0,0,5.555555556
170,0,0,5.555555556
170.5,0,0,5.555555556
171,0,0,5.555555556
171.5,0,0,5.555555556
172,0,0,5.555555556
172.5,0,0,5.555555556
173,0,0,5.555555556
173.5,0,0,5.555555556
174,0,0,5.555555556
174.5,0,0,5.555555556
175,0,0,5.555555556
175.5,0,0,5.555555556
176,0,0,5.555555556
176.5,0,0,5.555555556
177,0,0,5.555555556
177.5,0,0,5.555555556
178,0,0,5.555555556
178.5,0,0,5.555555556
179,0,0,5.555555556
179.5,0,0,5.555555556
180,0,0,5.555555556
180.5,0,0,5.555555556
181,0,0,5.555555556
181.5,0,0,5.555555556
182,0,0,5.555555556
182.5,0,0,5.555555556
183,0,0,5.555555556
183.5,0,0,5.555555556
184,0,0,5.555555556
184.5,0,0,5.555555556
185,0,0,5.555555556
185.5,0,0,5.555555556
186,0,0,5.555555556
186.5,0,0,5.555555556
187,0,0,5.555555556
187.5,0,0,5.555555556
188,0,0,5.555555556
188.5,0,0,5.555555556
189,0,0,5.555555556
189.5,0,0,5.555555556
190,0,0,5.555555556
190.5,0,0,5.555555556
191,0,0,5.555555556
191.5,0,0,5.555555556
192,0,0,5.555555556
192.5,0,0,5.555555556
193,0,0,5.555555556
193.5,0,0,5.555555556
194,0,0,5.555555556
194.5,0,0,5.555555556
195,0,0,5.555555556
195.5,0,0,5.555555556
196,0,0,5.555555556
196.5,0,0,5.555555556
197,0,0,5.555555556
197.5,0,0,5.555555556
198,0,0,5.555555556
198.5,0,0,5.555555556
199,0,0,5.555555556
199.5,0,0,5.555555556
200,0,0,5.555555556
200.5,0,0,5.555555556
201,0,0,5.555555556
201.5,0,0,5.555555556
202,0,0,5.555555556
202.5,0,0,5.555555556
203,0,0,5.555555556
203.5,0,0,5.555555556
204,0,0,5.555555556
204.5,0,0,5.555555556
205,0,0,5.555555556
205.5,0,0,5.555555556
206,0,0,5.555555556
206.5,0,0,5.555555556
207,0,0,5.555555556
207.5,0,0,5.555555556
208,0,0,5.555555556
208.5,0,0,5.555555556
209,0,0,5.555555556
209.5,0,0,5.555555556
210,0,0,5.555555556
210.5,0,0,5.555555556
211,0,0,5.555555556
