u,theta_d,rho,vel
401.0906722,-3.08249646,-0.015204322,13.88888889
403.0902975,-3.112552406,-0.014853866,13.88888889
405.0902975,-3.142594343,-0.014856419,13.88888889
407.0909224,-3.171623087,-0.015036269,13.88888889
409.0905263,-3.201694031,-0.015741229,13.88888889
411.0906423,-3.232816871,-0.016123841,13.88888889
413.0903313,-3.26606114,-0.016529094,13.88888889
415.0905003,-3.298436446,-0.016610176,13.88888889
417.0899425,-3.33197964,-0.016725919,13.88888889
419.0889672,-3.36569912,-0.016670915,13.88888889
421.0890812,-3.398768038,-0.016812787,13.88888889
423.0909443,-3.432021514,-0.016802555,13.88888889
425.0879233,-3.466556434,-0.016660691,13.88888889
427.0883923,-3.499569813,-0.016670219,13.88888889
429.0913154,-3.531988465,-0.016720188,13.88888889
431.0893354,-3.566598502,-0.01677315,13.88888889
433.0875436,-3.599874118,-0.016542072,13.88888889
435.0910894,-3.632621185,-0.016617481,13.88888889
437.0901795,-3.665863922,-0.016595452,13.88888889
439.0910316,-3.699636211,-0.016695254,13.88888889
441.0887855,-3.732156585,-0.016538915,13.88888889
443.0887315,-3.766012351,-0.016787583,13.88888889
445.0873033,-3.798808786,-0.016669286,13.88888889
447.0905709,-3.832913361,-0.016800742,13.88888889
449.087169,-3.866003878,-0.016578502,13.88888889
451.0910674,-3.899677997,-0.016620057,13.88888889
453.0893757,-3.932365827,-0.016558436,13.88888889
455.0906413,-3.965783191,-0.016734531,13.88888889
457.0890359,-3.998995393,-0.016662971,13.88888889
459.0846684,-4.032693713,-0.016720625,13.88888889
461.087071,-4.065700189,-0.016685051,13.88888889
463.090668,-4.099345396,-0.016668904,13.88888889
465.0881954,-4.132862536,-0.016630057,13.88888889
467.0891005,-4.1657474,-0.016623667,13.88888889
469.0870805,-4.199065441,-0.01602774,13.88888889
471.0832841,-4.232522096,-0.012872698,13.88888889
473.0889252,-4.261899154,-0.006867986,13.88888889
475.0873518,-4.276309283,0.001279537,13.88888889
477.0842934,-4.273805125,0.009648717,13.88888889
479.0865012,-4.254192798,0.017359516,13.88888889
481.0846294,-4.218432689,0.022442625,13.88888889
483.0824254,-4.169713648,0.024728762,13.88888889
485.0832475,-4.119603703,0.024946618,13.88888889
487.0820481,-4.070122964,0.024935671,13.88888889
489.0826303,-4.020028464,0.024954606,13.88888889
491.0878756,-3.969873596,0.025024061,13.88888889
493.0848173,-3.92032544,0.025117549,13.88888889
495.0843045,-3.86984173,0.025117508,13.88888889
497.0872646,-3.819182267,0.025033413,13.88888889
499.0839678,-3.76964027,0.025009175,13.88888889
501.0823985,-3.719687408,0.024979138,13.88888889
503.0830556,-3.66923167,0.025012112,13.88888889
505.0831996,-3.61978454,0.024951217,13.88888889
507.0826148,-3.569609279,0.024919965,13.88888889
509.0834848,-3.519513703,0.02496385,13.88888889
511.0817463,-3.470300458,0.024893867,13.88888889
513.0808921,-3.419868761,0.025049724,13.88888889
515.0824675,-3.370175752,0.024931162,13.88888889
517.0823328,-3.319987932,0.025220379,13.88888889
519.082305,-3.270246749,0.025054865,13.88888889
521.081939,-3.218866955,0.025122571,13.88888889
523.0818392,-3.16967129,0.024757737,13.88888889
525.0814644,-3.119532578,0.024954349,13.88888889
527.0813707,-3.070334688,0.024878222,13.88888889
529.0808269,-3.0199706,0.02503094,13.88888889
531.0799517,-2.970300994,0.025071187,13.88888889
533.0799519,-2.920184483,0.025173303,13.88888889
535.0802209,-2.869558409,0.02516852,13.88888889
537.0790978,-2.819282609,0.024909487,13.88888889
539.0800149,-2.769171834,0.02501285,13.88888889
541.080771,-2.720088219,0.024885545,13.88888889
543.0807862,-2.669163606,0.02508277,13.88888889
545.0774975,-2.619920736,0.024904872,13.88888889
547.0809598,-2.569585331,0.024523308,13.88888889
549.0783271,-2.519794125,0.020784599,13.88888889
551.0812562,-2.472690644,0.013919668,13.88888889
553.0801061,-2.444890475,0.004047665,13.88888889
555.080772,-2.436220342,-0.005822458,13.88888889
557.0805772,-2.448416573,-0.015332872,13.88888889
559.0789578,-2.479795721,-0.021563552,13.88888889
561.0778888,-2.528165088,-0.024704558,13.88888889
563.0781388,-2.577752783,-0.024962661,13.88888889
565.0768794,-2.627971757,-0.02501739,13.88888889
567.0786146,-2.677958939,-0.024953915,13.88888889
569.076754,-2.727822384,-0.024951845,13.88888889
571.0760691,-2.77767507,-0.025009583,13.88888889
573.0765701,-2.827619007,-0.024954997,13.88888889
575.0753947,-2.877845776,-0.024973938,13.88888889
577.0761486,-2.927406699,-0.024744557,13.88888889
579.0749305,-2.977421296,-0.023706985,13.88888889
581.0751977,-3.026307843,-0.022064521,13.88888889
583.0754267,-3.069629619,-0.01775917,13.88888889
584.6757079,-3.101787506,-0.012707647,13.88888889
586.6757079,-3.124835413,-0.006634191,13.88888889
588.6757079,-3.137843093,-0.002792873,13.88888889
590.6757079,-3.141592654,-0.000624927,13.88888889
592.6757079,-3.141592654,0,13.88888889
594.6757079,-3.141592654,0,13.88888889
596.6757079,-3.141592654,0,13.88888889
598.6757079,-3.141592654,0,13.88888889
600.6757079,-3.141592654,0,13.88888889
602.6757079,-3.141592654,0,13.88888889
604.6757079,-3.141592654,0,13.88888889
606.6757079,-3.141592654,0,13.88888889
608.6757079,-3.141592654,0,13.88888889
610.6757079,-3.141592654,0,13.88888889
612.6757079,-3.141592654,0,13.88888889
614.6757079,-3.141592654,0,13.88888889
616.6757079,-3.141592654,0,13.88888889
618.6757079,-3.141592654,0,13.88888889
620.6757079,-3.141592654,0,13.88888889
622.6757079,-3.141592654,0,13.88888889
624.6757079,-3.141592654,0,13.88888889
626.6757079,-3.141592654,0,13.88888889
628.6757079,-3.141592654,0,13.88888889
630.6757079,-3.141592654,0,13.88888889
632.6757079,-3.141592654,0,13.88888889
634.6757079,-3.141592654,0,13.88888889
636.6757079,-3.141592654,0,13.88888889
638.6757079,-3.141592654,0,13.88888889
640.2757079,-3.141592654,0,13.88888889
642.2757079,-3.141592654,0,13.88888889
644.2757079,-3.141592654,-0.00083316,13.88888889
646.2757079,-3.141592654,-0.003332237,13.88888889
648.2757079,-3.146591612,-0.00768308,13.88888889
650.2727079,-3.161563582,-0.012694515,13.88888889
652.2733328,-3.187676801,-0.017604043,13.88888889
654.2789499,-3.222842856,-0.021716024,13.88888889
656.2759477,-3.267227755,-0.024210338,13.88888889
658.2767975,-3.31802628,-0.024927509,13.88888889
660.2758222,-3.368035334,-0.024845457,13.88888889
662.2730453,-3.416722294,-0.025095167,13.88888889
664.2779393,-3.467129978,-0.025138881,13.88888889
666.2760634,-3.518613357,-0.025134235,13.88888889
668.2763884,-3.56763826,-0.024935871,13.88888889
670.2712067,-3.617764811,-0.025010684,13.88888889
672.2694309,-3.668061641,-0.024843375,13.88888889
674.2720542,-3.717592339,-0.024930393,13.88888889
676.2703785,-3.76680398,-0.024956906,13.88888889
678.2694033,-3.81764281,-0.025168023,13.88888889
680.2741227,-3.867384808,-0.025072192,13.88888889
682.268214,-3.917755164,-0.025092665,13.88888889
684.2708372,-3.968109769,-0.024875148,13.88888889
686.2733357,-4.01791965,-0.0249044,13.88888889
688.2733357,-4.067134156,-0.024937132,13.88888889
690.2675523,-4.117452391,-0.025037739,13.88888889
692.2689768,-4.167432087,-0.025077061,13.88888889
694.2690018,-4.21725086,-0.025123676,13.88888889
696.272923,-4.268050355,-0.025089744,13.88888889
698.2767693,-4.318370757,-0.024893964,13.88888889
700.2725899,-4.367881633,-0.02498357,13.88888889
702.2687111,-4.417310997,-0.024959673,13.88888889
704.2696359,-4.46809592,-0.025034889,13.88888889
706.2680603,-4.517528124,-0.024992075,13.88888889
708.2677603,-4.567497333,-0.025117037,13.88888889
710.2668101,-4.617977904,-0.024974855,13.88888889
712.268834,-4.668249674,-0.024920432,13.88888889
714.268859,-4.717373902,-0.024918545,13.88888889
716.2718818,-4.767627771,-0.025038337,13.88888889
718.2729315,-4.817863747,-0.024979605,13.88888889
720.2671732,-4.86756261,-0.025014355,13.88888889
722.2695967,-4.917448629,-0.025080365,13.88888889
724.2633118,-4.967708316,-0.025034576,13.88888889
726.2653358,-5.017997582,-0.024934676,13.88888889
728.2714265,-5.067699393,-0.024985335,13.88888889
730.2646651,-5.11734969,-0.025110451,13.88888889
732.2682619,-5.167982965,-0.024892969,13.88888889
734.2642829,-5.218184495,-0.024908052,13.88888889
736.26768,-5.26678073,-0.024928016,13.88888889
738.2649782,-5.317345209,-0.02514631,13.88888889
740.2630273,-5.36771741,-0.024865193,13.88888889
742.2631273,-5.417543496,-0.025112356,13.88888889
744.2652511,-5.466541651,-0.024943852,13.88888889
746.2597435,-5.518303078,-0.025201744,13.88888889
748.2653607,-5.567252746,-0.024921394,13.88888889
750.2676843,-5.617804938,-0.025125891,13.88888889
752.2683092,-5.668042891,-0.024881868,13.88888889
754.2685592,-5.718088705,-0.025055916,13.88888889
756.2655569,-5.767044491,-0.025011042,13.88888889
758.2601496,-5.818172432,-0.025002795,13.88888889
760.2613992,-5.867973848,-0.024833985,13.88888889
762.2616492,-5.916959872,-0.024917978,13.88888889
764.2602487,-5.967178369,-0.025008447,13.88888889
766.2616982,-6.017489086,-0.024952844,13.88888889
768.2585457,-6.066933742,-0.025154317,13.88888889
770.2658574,-6.117036309,-0.021149955,13.88888889
772.2591712,-6.168347312,-0.019263876,13.88888889
774.2633917,-6.193897663,-0.013356297,13.88888889
775.5734776,-6.219184674,-0.013660309,13.88888889
